product_id,user_id,product_category,product_name,color,sizes,material,brand,price,stock_quantity,rating,num_reviews,release_date
prod_00001,user_004741,Shoes,Sneakers,White,S,Polyester,Fashionry,160.75,408,4.6,35,2024-09-11
prod_00002,user_000663,Shoes,Loafers,Red,L,Polyester,ModaCore,106.89,330,4.9,911,2024-09-19
prod_00003,user_009302,Top,Oversized Shirt,Blue,M,Wool,StyleBox,160.22,356,4.7,76,2024-06-16
prod_00004,user_007771,Accessories,Backpack,Black,XS,Wool,Unistyle,30.97,365,3,663,2024-07-05
prod_00005,user_003099,Outerwear,Blazer,Olive,XL,Leather,ModaCore,191.1,57,4.7,543,2024-07-04
prod_00006,user_003661,Top,Basic T-Shirt,Olive,XL,Polyester,ModaCore,150.62,485,4,33,2024-08-12
prod_00007,user_001267,Top,Crop Top,White,S,Cotton,TrendPeak,74.87,368,3.1,944,2024-05-24
prod_00008,user_006977,Outerwear,Trench Coat,Olive,M,Wool,Fashionry,53.45,102,3.5,743,2024-11-26
prod_00009,user_007824,Outerwear,Bomber Jacket,Navy,XS,Denim,ModaCore,101.12,81,4.2,450,2024-06-23
prod_00010,user_007162,Top,Crop Top,White,XL,Leather,Fashionry,96.75,7,3.6,268,2024-07-10
prod_00011,user_002523,Outerwear,Blazer,Black,M,Wool,ModaCore,31.04,158,2.8,942,2024-07-25
prod_00012,user_008254,Accessories,Beanie,Olive,L,Cotton,TrendPeak,153.98,155,2.8,348,2024-07-17
prod_00013,user_009386,Outerwear,Blazer,Blue,L,Denim,Unistyle,161.69,304,3.1,982,2024-04-23
prod_00014,user_000173,Accessories,Beanie,Blue,XS,Polyester,Unistyle,46.83,365,2.8,628,2025-01-06
prod_00015,user_006136,Top,Oversized Shirt,White,XS,Wool,Unistyle,131.19,4,2.7,546,2025-02-11
prod_00016,user_007078,Outerwear,Cardigan,Navy,S,Denim,TrendPeak,177.46,382,2.9,116,2024-10-10
prod_00017,user_004816,Top,Basic T-Shirt,Beige,S,Denim,Fashionry,117.47,348,4.9,915,2024-07-17
prod_00018,user_005378,Top,Crop Top,Black,L,Wool,TrendPeak,100.12,86,4.6,324,2025-03-24
prod_00019,user_004810,Accessories,Beanie,Red,L,Cotton,Unistyle,37.02,381,4.7,815,2024-12-08
prod_00020,user_005018,Bottom,Jeans,White,S,Cotton,Fashionry,156.9,390,2.9,297,2024-07-10
prod_00021,user_009863,Top,Crop Top,Beige,L,Leather,TrendPeak,160.78,131,4.7,867,2024-12-27
prod_00022,user_002027,Top,Crop Top,Olive,L,Wool,Fashionry,190.26,128,3.7,715,2024-10-09
prod_00023,user_006553,Shoes,Loafers,White,XL,Denim,StyleBox,83.43,305,3.7,673,2024-10-11
prod_00024,user_005901,Top,Crop Top,Olive,L,Denim,ModaCore,89.64,392,3.4,448,2024-08-06
prod_00025,user_002114,Accessories,Watch,White,XS,Polyester,TrendPeak,137.58,166,4.2,688,2024-06-09
prod_00026,user_008753,Shoes,Loafers,Black,M,Polyester,ModaCore,175.66,12,2.5,325,2024-04-02
prod_00027,user_006676,Top,Basic T-Shirt,Olive,XL,Wool,ModaCore,115.93,152,4.8,564,2024-05-16
prod_00028,user_009791,Bottom,Chino Pants,Navy,XL,Denim,TrendPeak,147.8,33,4.9,830,2024-08-15
prod_00029,user_001205,Top,Basic T-Shirt,Blue,S,Wool,ModaCore,103.61,291,4.7,623,2024-04-28
prod_00030,user_005714,Outerwear,Cardigan,Beige,M,Wool,Fashionry,46.18,263,4.1,499,2024-12-30
prod_00031,user_007734,Bottom,Skirt,Navy,L,Leather,ModaCore,26.03,52,3.1,907,2025-03-05
prod_00032,user_007513,Bottom,Jeans,Beige,S,Leather,StyleBox,108.63,70,2.6,891,2025-01-18
prod_00033,user_006655,Bottom,Chino Pants,White,XL,Polyester,ModaCore,189.7,303,3,710,2024-12-21
prod_00034,user_008224,Shoes,Boots,Red,L,Polyester,Fashionry,121.15,79,4.3,482,2024-07-17
prod_00035,user_003674,Outerwear,Cardigan,Beige,L,Leather,Fashionry,45.97,70,3.5,501,2024-05-26
prod_00036,user_008549,Top,Crop Top,Red,S,Cotton,Unistyle,150.31,377,2.6,428,2025-03-03
prod_00037,user_001560,Top,Basic T-Shirt,Red,S,Leather,Unistyle,89.02,327,2.9,94,2024-04-14
prod_00038,user_009559,Accessories,Necklace,Red,XS,Cotton,TrendPeak,120.7,18,4,380,2024-11-15
prod_00039,user_001884,Outerwear,Blazer,Beige,S,Wool,TrendPeak,93.11,154,4.8,186,2024-09-27
prod_00040,user_005883,Accessories,Watch,Blue,L,Cotton,Unistyle,61.53,75,4.1,290,2024-10-12
prod_00041,user_001804,Shoes,Sneakers,Blue,M,Leather,StyleBox,115.7,41,3.8,353,2025-02-04
prod_00042,user_002329,Bottom,Jogger Pants,Blue,L,Cotton,Fashionry,137.41,139,4,903,2024-09-01
prod_00043,user_009092,Outerwear,Trench Coat,White,L,Leather,TrendPeak,83.37,85,2.8,277,2024-04-23
prod_00044,user_007252,Top,Crop Top,White,L,Denim,ModaCore,68.62,259,3.6,810,2024-06-17
prod_00045,user_006114,Accessories,Backpack,Navy,S,Polyester,Fashionry,165.81,276,4.9,662,2024-09-04
prod_00046,user_004514,Shoes,Loafers,Navy,XL,Leather,StyleBox,181.5,194,3.5,701,2024-05-28
prod_00047,user_009965,Accessories,Beanie,Black,S,Denim,StyleBox,58.68,233,3,821,2024-05-14
prod_00048,user_008704,Bottom,Skirt,Blue,S,Polyester,StyleBox,100.5,191,3.3,131,2025-02-17
prod_00049,user_002160,Accessories,Necklace,Black,M,Polyester,Fashionry,192.7,477,3.2,319,2024-12-02
prod_00050,user_008892,Bottom,Jogger Pants,Olive,XL,Leather,StyleBox,23.54,63,4.4,213,2024-06-12
prod_00051,user_004129,Top,Oversized Shirt,White,S,Leather,ModaCore,170.83,351,4,565,2024-11-06
