user_id,product_category,discount_used,aov,cltv,repeat_customer,purchase_frequency
user_000001,Home,True,62.96,896.07,True,7
user_000002,Books,False,93.46,979.67,True,6
user_000003,Books,False,127.87,164.18,False,6
user_000004,Home,False,99.05,281.5,False,4
user_000005,Electronics,False,129.05,395.83,False,6
user_000006,Home,False,109.59,420.72,True,2
user_000007,Home,False,52.47,556.36,False,4
user_000008,Electronics,False,119.77,338.75,True,8
user_000009,Electronics,True,65.69,370.34,False,10
user_000010,Electronics,True,73.98,152.16,False,9
user_000011,Fashion,False,45.47,313.1,True,1
user_000012,Books,False,125.73,505.3,False,9
user_000013,Electronics,False,107.25,471.7,True,0
user_000014,Home,False,38.2,104.48,False,1
user_000015,Beauty,True,115.81,127.34,True,6
user_000016,Fashion,False,138.97,256.99,False,9
user_000017,Beauty,True,27.46,592.49,False,8
user_000018,Fashion,False,37.94,875.82,False,6
user_000019,Fashion,True,106.67,414.3,True,6
user_000020,Electronics,False,38.63,449.67,True,4
user_000021,Electronics,False,120.79,802.42,False,8
user_000022,Fashion,False,48.87,110.33,True,7
user_000023,Electronics,True,99.12,198.41,False,5
user_000024,Fashion,True,92.79,755.37,True,2
user_000025,Electronics,False,126.19,822.38,True,0
user_000026,Fashion,False,42.6,429.9,False,0
user_000027,Fashion,False,42.97,655.93,True,10
user_000028,Home,False,42.38,968.64,False,1
user_000029,Fashion,True,30.7,299.8,False,0
user_000030,Beauty,True,126.33,176.53,True,7
user_000031,Fashion,True,39.85,526.92,False,1
user_000032,Beauty,True,38.56,260.0,True,8
user_000033,Books,False,130.48,944.52,False,1
user_000034,Beauty,False,118.84,998.08,False,8
user_000035,Books,True,24.44,600.26,False,5
user_000036,Home,True,98.02,377.66,False,3
user_000037,Beauty,False,130.79,197.7,False,7
user_000038,Home,False,140.36,905.48,True,10
user_000039,Fashion,True,52.26,715.39,True,1
user_000040,Fashion,False,115.62,943.43,False,1
user_000041,Electronics,True,41.58,967.98,True,5
user_000042,Books,True,78.75,260.15,True,5
user_000043,Fashion,False,137.08,579.99,False,2
user_000044,Home,False,34.71,354.35,True,9
user_000045,Fashion,False,113.91,479.7,True,5
user_000046,Books,False,108.87,791.9,False,8
user_000047,Books,True,75.73,374.21,True,1
user_000048,Fashion,True,121.38,400.59,False,3
user_000049,Home,False,130.99,405.66,True,9
user_000050,Beauty,True,55.98,270.48,False,7
user_000051,Home,False,45.57,618.52,True,1
user_000052,Fashion,True,137.13,963.83,True,1
user_000053,Home,True,113.23,843.07,True,6
user_000054,Books,False,59.1,660.56,True,0
user_000055,Fashion,False,82.58,350.44,False,0
user_000056,Beauty,False,100.17,962.53,True,3
user_000057,Fashion,True,57.49,194.83,False,2
user_000058,Books,True,146.8,684.63,False,10
user_000059,Fashion,False,95.11,638.68,False,8
user_000060,Electronics,True,95.53,829.56,True,4
user_000061,Home,False,145.69,723.3,False,8
user_000062,Beauty,True,51.13,237.52,True,7
user_000063,Fashion,True,94.91,258.85,False,3
user_000064,Books,False,71.07,487.08,True,3
user_000065,Books,True,115.73,116.85,True,4
user_000066,Fashion,True,22.43,690.11,False,6
user_000067,Electronics,True,82.13,593.39,True,2
user_000068,Books,False,129.95,882.06,False,8
user_000069,Home,True,21.34,216.33,False,7
user_000070,Home,False,81.87,397.73,False,2
user_000071,Electronics,True,42.54,535.43,True,7
user_000072,Electronics,True,78.35,394.76,True,1
user_000073,Home,False,117.89,106.59,False,1
user_000074,Electronics,False,104.47,172.63,False,3
user_000075,Home,True,39.08,212.06,True,5
user_000076,Fashion,False,133.98,750.78,True,1
user_000077,Fashion,False,145.54,393.1,True,8
user_000078,Home,False,36.24,982.01,False,5
user_000079,Fashion,True,148.15,429.99,False,1
user_000080,Electronics,True,39.12,682.24,True,5
user_000081,Home,True,140.26,295.46,False,6
user_000082,Home,True,114.03,153.53,False,5
