user_id,days_since_last_activity,engagement_score,returned_in_30d,renewed_subscription,low_activity_flag,churn_reason,churn_date
user_000001,38,62.63,False,False,False,Low usage,2025-02-08
user_000002,50,87.01,False,True,True,Found better service,2025-02-13
user_000003,108,10.41,False,True,True,Technical issues,2025-03-29
user_000004,31,29.07,False,True,True,Too expensive,2025-02-22
user_000005,46,35.97,False,True,True,Low usage,2025-03-13
user_000006,44,8.86,False,False,True,Too expensive,2025-02-11
user_000007,99,97.96,False,True,False,Found better service,2025-03-14
user_000008,30,55.84,False,True,False,,
user_000009,-5,16.71,False,True,True,,
user_000010,36,24.13,False,False,False,,
user_000011,51,71.72,False,False,True,Technical issues,2025-01-31
user_000012,14,16.43,False,True,False,Found better service,2025-03-11
user_000013,-26,17.82,False,False,True,Low usage,2025-03-20
user_000014,18,61.11,False,True,False,Too expensive,2025-03-10
user_000015,54,46.47,False,False,True,Found better service,2025-03-11
user_000016,18,96.83,False,False,False,Low usage,2025-03-18
user_000017,67,75.4,False,False,True,Low usage,2025-02-09
user_000018,1,13.48,False,False,False,Too expensive,2025-02-18
user_000019,7,49.12,False,True,False,Too expensive,2025-02-12
user_000020,-23,2.52,False,False,True,Low usage,2025-03-30
user_000021,39,12.09,False,False,False,,
user_000022,26,30.77,True,True,False,Found better service,2025-02-03
user_000023,34,62.64,False,True,False,Found better service,2025-02-07
user_000024,36,9.86,False,True,False,Found better service,2025-02-14
user_000025,-35,42.64,False,False,True,Found better service,2025-03-27
user_000026,-4,96.32,False,True,True,Too expensive,2025-02-27
user_000027,-41,37.71,False,True,True,Too expensive,2025-02-17
user_000028,89,69.43,False,False,True,Technical issues,2025-02-01
user_000029,-51,81.05,False,False,False,,
user_000030,79,29.41,False,False,False,Technical issues,2025-02-17
user_000031,20,51.92,False,False,True,Low usage,2025-03-25
user_000032,12,67.23,False,False,True,Low usage,2025-02-04
user_000033,77,98.84,False,False,False,Technical issues,2025-03-31
user_000034,-2,36.28,False,True,True,Low usage,2025-03-23
user_000035,37,8.9,False,False,False,Low usage,2025-02-13
user_000036,4,42.97,False,True,False,Technical issues,2025-03-03
user_000037,7,62.6,False,True,True,Technical issues,2025-03-12
user_000038,24,28.24,False,False,False,Low usage,2025-03-27
user_000039,-13,65.55,False,True,False,Technical issues,2025-02-21
user_000040,23,3.47,False,False,False,Too expensive,2025-03-26
user_000041,30,37.09,False,True,True,Low usage,2025-02-24
user_000042,45,97.81,False,False,False,Found better service,2025-03-13
user_000043,30,65.75,False,False,True,Technical issues,2025-02-08
user_000044,70,17.05,False,False,True,Technical issues,2025-03-27
