return_id,user_id,return_reason,return_processing_days,exchange_conversion
,user_000001,,,
,user_000002,,,
,user_000003,,,
,user_000004,,,
,user_000005,,,
,user_000006,,,
,user_000007,,,
,user_000008,,,
,user_000009,,,
,user_000010,,,
,user_000011,,,
,user_000012,,,
,user_000013,,,
,user_000014,,,
,user_000015,,,
,user_000016,,,
,user_000017,,,
,user_000018,,,
,user_000019,,,
,user_000020,,,
,user_000021,,,
62820d86-1d36-46e8-b5ef-2d6ea4909e4b,user_000022,Color mismatch,8.0,True
,user_000023,,,
,user_000024,,,
,user_000025,,,
,user_000026,,,
,user_000027,,,
,user_000028,,,
,user_000029,,,
,user_000030,,,
,user_000031,,,
,user_000032,,,
,user_000033,,,
,user_000034,,,
,user_000035,,,
,user_000036,,,
,user_000037,,,
,user_000038,,,
,user_000039,,,
,user_000040,,,
,user_000041,,,
,user_000042,,,
,user_000043,,,
,user_000044,,,
,user_000045,,,
,user_000046,,,
,user_000047,,,
,user_000048,,,
,user_000049,,,
,user_000050,,,
,user_000051,,,
,user_000052,,,
,user_000053,,,
,user_000054,,,
,user_000055,,,
,user_000056,,,
,user_000057,,,
,user_000058,,,
,user_000059,,,
,user_000060,,,
,user_000061,,,
,user_000062,,,
,user_000063,,,
,user_000064,,,
,user_000065,,,
,user_000066,,,
,user_000067,,,
,user_000068,,,
,user_000069,,,
,user_000070,,,
,user_000071,,,
,user_000072,,,
,user_000073,,,
,user_000074,,,
,user_000075,,,
,user_000076,,,
,user_000077,,,
,user_000078,,,
,user_000079,,,
,user_000080,,,
,user_000081,,,
,user_000082,,,
,user_000083,,,
,user_000084,,,
,user_000085,,,
,user_000086,,,
,user_000087,,,
,user_000088,,,
,user_000089,,,
,user_000090,,,
,user_000091,,,
,user_000092,,,
,user_000093,,,
,user_000094,,,
,user_000095,,,
,user_000096,,,
,user_000097,,,
,user_000098,,,
,user_000099,,,
,user_000100,,,
,user_000101,,,
,user_000102,,,
66dfcffe-c7e2-4fb1-9bfe-0156efbd465f,user_000103,Color mismatch,7.0,True
,user_000104,,,
,user_000105,,,
,user_000106,,,
,user_000107,,,
,user_000108,,,
,user_000109,,,
,user_000110,,,
,user_000111,,,
,user_000112,,,
,user_000113,,,
,user_000114,,,
,user_000115,,,
,user_000116,,,
,user_000117,,,
,user_000118,,,
,user_000119,,,
,user_000120,,,
,user_000121,,,
,user_000122,,,
,user_000123,,,
,user_000124,,,
,user_000125,,,
,user_000126,,,
,user_000127,,,
,user_000128,,,
,user_000129,,,
,user_000130,,,
,user_000131,,,
,user_000132,,,
,user_000133,,,
,user_000134,,,
,user_000135,,,
,user_000136,,,
,user_000137,,,
,user_000138,,,
,user_000139,,,
,user_000140,,,
,user_000141,,,
,user_000142,,,
,user_000143,,,
,user_000144,,,
,user_000145,,,
,user_000146,,,
,user_000147,,,
,user_000148,,,
,user_000149,,,
,user_000150,,,
,user_000151,,,
,user_000152,,,
,user_000153,,,
,user_000154,,,
,user_000155,,,
,user_000156,,,
,user_000157,,,
,user_000158,,,
,user_000159,,,
,user_000160,,,
,user_000161,,,
,user_000162,,,
,user_000163,,,
,user_000164,,,
,user_000165,,,
,user_000166,,,
,user_000167,,,
,user_000168,,,
,user_000169,,,
,user_000170,,,
,user_000171,,,
,user_000172,,,
,user_000173,,,
,user_000174,,,
,user_000175,,,
,user_000176,,,
,user_000177,,,
,user_000178,,,
,user_000179,,,
,user_000180,,,
,user_000181,,,
,user_000182,,,
,user_000183,,,
,user_000184,,,
,user_000185,,,
,user_000186,,,
,user_000187,,,
,user_000188,,,
,user_000189,,,
,user_000190,,,
,user_000191,,,
