user_id,used_referral_code,nps_score,social_shares,invited_users,viral_coefficient
user_000001,True,3,4,0,0.0
user_000002,False,2,6,1,1.0
user_000003,False,0,1,8,8.0
user_000004,True,9,5,3,3.0
user_000005,True,6,10,2,2.0
user_000006,False,8,4,4,4.0
user_000007,True,1,3,0,0.0
user_000008,True,5,8,6,6.0
user_000009,True,8,1,3,3.0
user_000010,False,0,8,1,1.0
user_000011,True,1,3,0,0.0
user_000012,False,4,3,2,2.0
user_000013,True,6,4,2,2.0
user_000014,False,0,7,4,4.0
user_000015,False,8,8,6,6.0
user_000016,False,8,4,1,1.0
user_000017,False,7,8,6,6.0
user_000018,False,1,4,10,10.0
user_000019,True,10,6,2,2.0
user_000020,True,6,9,0,0.0
user_000021,False,9,5,4,4.0
user_000022,False,7,10,3,3.0
user_000023,False,3,1,7,7.0
user_000024,True,1,7,10,10.0
user_000025,False,10,4,0,0.0
user_000026,True,1,7,9,9.0
user_000027,False,7,6,7,7.0
user_000028,False,6,7,7,7.0
user_000029,False,1,3,7,7.0
user_000030,True,5,8,5,5.0
user_000031,False,3,8,3,3.0
user_000032,True,5,6,6,6.0
user_000033,False,10,3,4,4.0
user_000034,True,0,5,1,1.0
user_000035,False,7,9,1,1.0
user_000036,False,10,10,2,2.0
user_000037,False,0,3,9,9.0
user_000038,True,5,2,0,0.0
user_000039,False,6,10,5,5.0
user_000040,False,0,3,5,5.0
user_000041,True,3,5,1,1.0
user_000042,False,0,4,6,6.0
user_000043,True,2,4,10,10.0
user_000044,False,2,4,5,5.0
user_000045,False,8,8,4,4.0
user_000046,True,7,10,1,1.0
user_000047,False,6,4,8,8.0
user_000048,True,3,8,0,0.0
user_000049,True,5,10,8,8.0
user_000050,True,7,5,8,8.0
user_000051,False,3,9,4,4.0
user_000052,False,9,6,3,3.0
user_000053,False,1,1,0,0.0
user_000054,False,7,6,2,2.0
user_000055,False,8,1,2,2.0
user_000056,True,4,4,4,4.0
user_000057,False,1,9,4,4.0
user_000058,True,2,4,5,5.0
user_000059,True,8,5,8,8.0
user_000060,True,7,0,10,10.0
user_000061,False,10,3,8,8.0
user_000062,False,7,3,3,3.0
user_000063,True,2,3,10,10.0
user_000064,False,3,4,1,1.0
user_000065,True,4,5,6,6.0
user_000066,False,4,0,2,2.0
user_000067,True,6,3,7,7.0
user_000068,False,6,0,1,1.0
user_000069,False,2,4,7,7.0
user_000070,True,1,4,6,6.0
user_000071,False,0,2,1,1.0
user_000072,True,0,8,2,2.0
user_000073,True,4,6,8,8.0
user_000074,True,6,9,10,10.0
user_000075,False,2,10,6,6.0
user_000076,False,10,3,8,8.0
user_000077,False,2,4,2,2.0
user_000078,False,6,7,4,4.0
user_000079,False,7,2,2,2.0
user_000080,False,10,4,9,9.0
user_000081,True,7,6,7,7.0
user_000082,True,1,4,1,1.0
user_000083,True,3,4,8,8.0
user_000084,False,0,6,10,10.0
user_000085,False,6,6,4,4.0
user_000086,True,3,5,7,7.0
user_000087,False,8,7,8,8.0
user_000088,True,7,8,6,6.0
user_000089,False,2,4,7,7.0
user_000090,True,0,10,0,0.0
user_000091,False,4,5,3,3.0
user_000092,True,6,0,2,2.0
user_000093,False,2,3,0,0.0
user_000094,False,1,10,0,0.0
user_000095,False,8,1,10,10.0
user_000096,False,6,3,1,1.0
user_000097,True,0,5,4,4.0
user_000098,False,10,10,2,2.0
user_000099,True,5,6,10,10.0
user_000100,True,3,4,5,5.0
user_000101,True,9,2,4,4.0
user_000102,True,10,2,10,10.0
user_000103,True,8,5,3,3.0
user_000104,True,5,3,0,0.0
user_000105,False,8,4,6,6.0
user_000106,True,1,8,3,3.0
user_000107,True,6,4,8,8.0
user_000108,True,0,4,4,4.0
user_000109,False,6,9,8,8.0
user_000110,True,10,4,6,6.0
user_000111,False,9,0,6,6.0
user_000112,True,1,8,8,8.0
user_000113,True,1,1,7,7.0
user_000114,True,0,3,6,6.0
user_000115,False,3,3,8,8.0
user_000116,True,7,7,1,1.0
user_000117,True,1,5,10,10.0
user_000118,True,0,4,2,2.0
