session_id,user_id,session_duration,device_type
a67b8c3d57d111bb,user_000001,153,PC
31df14747a3d4dd7,user_000002,846,PC
55433fe5786c6078,user_000003,781,PC
429810c36b3d035d,user_000004,545,Mobile
d0533a67855eaa16,user_000005,643,Mobile
8e0da0e03e84404d,user_000006,867,PC
41ab27bdcf2e7390,user_000007,651,PC
4e77143e88c92b15,user_000008,240,Mobile
3b3462d99df095a6,user_000009,863,Mobile
1b1ffc276f76f338,user_000010,874,Mobile
acce1dd84b63e75d,user_000011,351,Mobile
6a52c5687d729722,user_000012,329,PC
825bac048c6e46ff,user_000013,1107,PC
6a6ed12e8462cf39,user_000014,64,PC
acb3ffcc62b0301f,user_000015,965,Mobile
4f28a332bf297fc9,user_000016,536,Mobile
e59427050ca15b92,user_000017,537,PC
d2f3c7bf6aa510f3,user_000018,722,Mobile
2a01884bdbdce257,user_000019,347,Mobile
120dd22ee137f93f,user_000020,833,Mobile
798fcb0093a3c98a,user_000021,115,PC
b57ad4ddd58613d9,user_000022,177,Mobile
2202aa084db046d6,user_000023,416,PC
8a6adcc449127280,user_000024,884,Mobile
9e3686d41b0442b6,user_000025,551,PC
51f3ac9a0ba6fd4a,user_000026,987,Mobile
94ebd95682fed4b9,user_000027,631,PC
2777d7e06cb0afb2,user_000028,1036,PC
0696dc2e1d297f6f,user_000029,619,PC
e389df04c6fe6913,user_000030,650,Mobile
548703935e00e56e,user_000031,461,PC
be230556a199c2d0,user_000032,261,PC
c93314c459241a76,user_000033,1120,Mobile
ed474ca5c83648e4,user_000034,470,Mobile
f53de58c89107d40,user_000035,1115,PC
a8578945fe9c31ee,user_000036,1134,Mobile
4af84da5279a8b5d,user_000037,126,PC
29a83a97dfcbc80e,user_000038,871,PC
1af0fafda85651e8,user_000039,1014,PC
a7025cdab3c2db10,user_000040,333,PC
398d9df39fa65d1d,user_000041,633,Mobile
7db024a5e72efa7d,user_000042,743,Mobile
7092b4c89f998748,user_000043,153,PC
22240c8150f837f6,user_000044,248,Mobile
ab1bdda872cd46a2,user_000045,985,Mobile
e22eaf115bc2bdcf,user_000046,877,Mobile
f0695cb8e4d712c8,user_000047,281,PC
381e00c9bad6c756,user_000048,93,Mobile
f2822e1caa89f571,user_000049,487,PC
f627bb762328b1ed,user_000050,435,Mobile
8e7782f3a3f7094b,user_000051,313,Mobile
87397b2232acfa79,user_000052,1125,PC
3195307d09a291b9,user_000053,336,PC
33ab053669b7c821,user_000054,724,PC
f4171b7d8744affd,user_000055,140,Mobile
63cb3f5ab81b5dca,user_000056,263,PC
450df19595bb7896,user_000057,640,PC
c2b51b0051f7eec4,user_000058,154,PC
de3955b75670ef29,user_000059,319,PC
5abe96e72fab113a,user_000060,847,PC
91d411efaa9f6d94,user_000061,759,Mobile
361ff0f59b8130cb,user_000062,760,PC
6f4f5f78163187fe,user_000063,708,PC
e0e2404330015251,user_000064,183,Mobile
3e023837bca0ccfa,user_000065,618,Mobile
bd19e52e3408bb03,user_000066,860,Mobile
49b078b749fb06be,user_000067,719,Mobile
110a81255b1984b2,user_000068,1078,PC
a63cdcabdc687b29,user_000069,692,PC
5816b566b6a363b7,user_000070,82,PC
b8386c05b671c460,user_000071,909,PC
10267b91be176fe6,user_000072,282,PC
94c3dcaf61dc9f61,user_000073,1009,PC
0127d227642d8820,user_000074,147,Mobile
02c393ee5d059be9,user_000075,539,PC
abb282d5e9bfcf75,user_000076,400,Mobile
d4ea93503bab71ef,user_000077,278,PC
bfdacc6f8059ee39,user_000078,1170,Mobile
8372ff9d0bc0cf1e,user_000079,426,PC
cc9e0b8e4360596a,user_000080,1154,PC
adb42a768c1e1364,user_000081,633,PC
2672cc3351115c25,user_000082,752,Mobile
49806a624cc7d729,user_000083,985,Mobile
0a22267d644b7186,user_000084,656,PC
8a2b1ba63bc21950,user_000085,1155,Mobile
525e65c1db33179b,user_000086,1044,Mobile
840ad943455ae3ee,user_000087,273,Mobile
