user_id,ga_client_id,first_visit_ts,last_active_ts,loyalty_tier,channel,acquisition_date,cac,utm_source,signup_method,signed_up,gender,age_group
user_000001,0ad1ec3d-06a9-46f9-894f-4ef6cb65ce0c,2025-02-16 12:00:23,2025-04-24 12:00:23,VIP,SNS,2025-02-16,14.07,google,Email,True,female,45-54
user_000002,97bb7608-e61b-489b-a65f-88c395ef8b11,2025-01-14 17:07:17,2025-03-24 17:07:17,Gold,Organic,2025-01-14,12.03,google,SNS,True,male,35-44
user_000003,6676efec-7fcc-4d5b-9ce3-034c24dbc2d8,2025-02-19 21:25:36,2025-05-20 21:25:36,Silver,SNS,2025-02-19,28.63,youtube,Email,True,male,18-24
user_000004,1b880fde-8e86-4bb5-a35c-720482c1b154,2025-01-22 23:14:09,2025-03-02 23:14:09,VIP,SNS,2025-01-22,23.12,youtube,SNS,True,male,25-34
user_000005,73de9048-62bd-4cfa-bd3e-407d37add9fa,2024-12-22 00:57:17,2025-02-03 00:57:17,Gold,Referral,2024-12-22,12.97,instagram,Email,False,male,45-54
user_000006,c4f79459-391d-47f4-8d88-8a8d35fbc471,2025-01-10 14:29:08,2025-03-16 14:29:08,Gold,Organic,2025-01-10,45.91,youtube,Email,True,male,18-24
user_000007,d78d36ee-12e6-4dae-9ed9-2acf52703fac,2025-02-18 16:37:43,2025-03-18 16:37:43,Silver,Email,2025-02-18,14.82,google,Email,True,male,35-44
user_000008,36d8b106-3313-4e86-86c4-69020f190d3b,2024-12-14 01:27:46,2025-02-20 01:27:46,VIP,Google Ads,2024-12-14,24.2,google,SNS,False,female,45-54
user_000009,29796108-dfd8-44bc-8468-074871f07be0,2024-12-20 20:19:26,2025-03-09 20:19:26,Gold,Email,2024-12-20,18.26,google,SNS,False,male,45-54
user_000010,78b523e6-a4cc-4942-8f27-4d406b510dc2,2025-01-20 17:52:17,2025-03-17 17:52:17,Gold,Organic,2025-01-20,10.52,instagram,SNS,False,male,18-24
user_000011,26e0356e-d216-4f0f-8d52-e81bb6e19295,2025-01-13 19:59:05,2025-03-11 19:59:05,Gold,SNS,2025-01-13,18.26,facebook,Email,False,female,35-44
user_000012,4b9cf050-5282-4c58-a1fe-657077d862cb,2025-01-18 08:32:39,2025-01-27 08:32:39,VIP,Referral,2025-01-18,38.31,newsletter,SNS,True,female,45-54
user_000013,ae804bdb-9ec3-4941-a14b-ac4fbbfc5637,2024-12-31 12:48:22,2025-01-10 12:48:22,Silver,Google Ads,2024-12-31,43.18,google,Email,True,male,18-24
user_000014,68c4ec9d-c711-4cf7-8b7a-2eb8ba7c184a,2025-02-17 05:22:35,2025-04-26 05:22:35,Silver,Google Ads,2025-02-17,28.02,google,Email,False,female,35-44
user_000015,d1405722-c681-407b-bf66-fd3034c92877,2025-02-12 06:09:58,2025-03-18 06:09:58,VIP,SNS,2025-02-12,28.23,newsletter,Email,True,female,18-24
user_000016,bfae8341-dd9a-4946-8f5d-4b01031a18e3,2024-12-05 03:02:26,2025-02-02 03:02:26,Silver,Organic,2024-12-05,33.62,google,SNS,False,female,25-34
user_000017,f8c6ecc1-410c-43db-86d7-192c0ff1fd7e,2024-12-21 09:05:34,2025-01-14 09:05:34,Silver,Organic,2024-12-21,41.26,youtube,SNS,False,female,25-34
user_000018,ede051ce-460d-45d4-adec-2036d5097367,2024-12-06 01:46:52,2024-12-11 01:46:52,VIP,Referral,2024-12-06,17.41,youtube,SNS,False,female,18-24
user_000019,06fcf779-1de8-40df-9a6b-a1de2e2c25c6,2024-12-02 01:17:41,2025-01-24 01:17:41,VIP,Organic,2024-12-02,35.09,facebook,Email,True,female,45-54
user_000020,76cf0692-7249-4b40-830d-39ff224432a8,2025-01-10 04:39:02,2025-03-24 04:39:02,Gold,SNS,2025-01-10,23.6,youtube,SNS,True,male,45-54
user_000021,f42e5414-c8cb-4b64-96b2-0bd65a4da341,2025-01-17 05:13:38,2025-03-07 05:13:38,Gold,Google Ads,2025-01-17,23.84,newsletter,SNS,False,male,35-44
user_000022,3ac9d74f-2e1f-43f2-aa13-25421142f276,2025-01-26 07:47:54,2025-03-31 07:47:54,Gold,Google Ads,2025-01-26,11.59,newsletter,Email,False,male,35-44
user_000023,001d31fc-4f3e-488f-ae40-1703681fa982,2024-12-17 07:47:45,2025-01-04 07:47:45,Silver,Google Ads,2024-12-17,43.33,facebook,SNS,False,female,45-54
user_000024,034da814-7d9a-436b-94d0-e0c2d5c728ec,2025-01-05 13:31:12,2025-01-30 13:31:12,VIP,SNS,2025-01-05,31.44,facebook,Email,False,male,18-24
user_000025,eec57889-1314-4d54-add7-148687ba3eb5,2025-01-29 12:50:08,2025-03-24 12:50:08,VIP,SNS,2025-01-29,46.27,instagram,SNS,False,male,45-54
user_000026,09e17fcd-e7d6-4349-8244-1e1b11dc6227,2024-12-15 08:58:35,2025-01-19 08:58:35,VIP,SNS,2024-12-15,31.32,newsletter,SNS,False,female,18-24
user_000027,6d21bf1e-b249-4e09-a879-74cb0ffb697b,2025-01-19 21:54:56,2025-02-17 21:54:56,Silver,Email,2025-01-19,35.11,newsletter,Email,False,female,35-44
user_000028,4519d511-dcb1-43b5-bf2e-088132d45e66,2025-01-13 21:57:31,2025-04-10 21:57:31,Silver,Email,2025-01-13,46.35,instagram,SNS,True,female,35-44
user_000029,d0e9935d-e557-4648-87d6-5964f0419e7a,2025-01-19 10:54:19,2025-04-03 10:54:19,VIP,Google Ads,2025-01-19,17.29,newsletter,Email,True,female,45-54
user_000030,9acdeeef-ee58-4cd1-a28d-7e1f7f404060,2025-02-06 18:21:44,2025-02-15 18:21:44,Gold,Organic,2025-02-06,49.94,instagram,Email,False,male,25-34
user_000031,023f9cb9-72d9-4306-aeef-d5df5969f6ae,2024-12-31 15:35:16,2025-01-12 15:35:16,Gold,Referral,2024-12-31,42.84,google,Email,False,female,18-24
user_000032,6a0ee884-425a-4c81-8b3a-bb114e7dc94d,2025-02-28 21:49:00,2025-05-22 21:49:00,VIP,SNS,2025-02-28,34.54,newsletter,Email,False,male,25-34
user_000033,f4c31793-c40b-4b82-bc30-96ffb4e485b2,2025-02-08 00:45:38,2025-03-17 00:45:38,Gold,Referral,2025-02-08,10.36,youtube,Email,False,female,18-24
user_000034,f17d594d-3b2f-4c27-840d-e0c06aeee779,2025-02-02 23:15:40,2025-03-07 23:15:40,VIP,Google Ads,2025-02-02,27.63,facebook,Email,False,male,45-54
user_000035,eb1d10a6-1dac-4e46-bbca-9b9573116ba5,2025-02-26 22:48:06,2025-05-03 22:48:06,VIP,Google Ads,2025-02-26,37.25,instagram,SNS,True,female,45-54
user_000036,6e18fe79-b9cd-49e8-a0b8-a4c3f5104c9f,2024-12-07 04:12:17,2025-02-01 04:12:17,Silver,Referral,2024-12-07,49.3,facebook,SNS,True,male,35-44
